經度,緯度,數量,路線
九芎,121.55256468,24.63455925,1,台7線
樟樹,121.55256116,24.63455672,1,台7線
豔紫荊,121.55312304,24.63538867,12,台7線
樟樹,121.55319535,24.63720482,1,台7線
九芎,121.55348886,24.63863752,12,台7線
櫻花,121.55377040,24.63906376,67,台7線
櫻花,121.55892031,24.64086801,1,台7線
九芎,121.55943658,24.64120542,1,台7線
豔紫荊,121.55997939,24.64152880,1,台7線
櫻花,121.56109493,24.64153681,10,台7線
豔紫荊,121.56120637,24.64154458,6,台7線
櫻花,121.56269796,24.64134872,12,台7線
九芎,121.56293094,24.64129875,1,台7線
櫻花,121.56365456,24.64117938,13,台7線
大頭茶,121.56412428,24.64189597,14,台7線
豔紫荊,121.56415876,24.64209365,8,台7線
豔紫荊,121.56488101,24.64468718,4,台7線
羊蹄甲,121.56506997,24.64505209,2,台7線
豔紫荊,121.56531513,24.64586733,6,台7線
豔紫荊,121.56617770,24.64675644,20,台7線
豔紫荊,121.56799864,24.64802278,7,台7線
紫薇,121.56880018,24.64830854,1,台7線
紫薇,121.57146316,24.64836430,7,台7線
櫻花,121.57160337,24.64837411,8,台7線
紫薇,121.57181755,24.64837151,1,台7線
豔紫荊,121.57190754,24.64838499,4,台7線
豔紫荊,121.57258290,24.64847745,6,台7線
櫻花,121.57324415,24.64850478,25,台7線
紫薇,121.57353313,24.64847220,8,台7線
松,121.57368541,24.64849373,3,台7線
豔紫荊,121.57370096,24.64848812,25,台7線
櫻花,121.57594596,24.64896552,12,台7線
豔紫荊,121.57614510,24.64924516,1,台7線
豔紫荊,121.57726794,24.65109305,4,台7線
豔紫荊,121.57784999,24.65159348,1,台7線
紫薇,121.57810276,24.65174485,31,台7線
紫薇,121.57903878,24.65217167,6,台7線
櫻花,121.57955457,24.65245705,5,台7線
豔紫荊,121.57969209,24.65258177,1,台7線
豔紫荊,121.58301152,24.65542401,7,台7線
松,121.58307166,24.65538288,2,台7線
豔紫荊,121.58320894,24.65533158,7,台7線
豔紫荊,121.58692373,24.65852560,1,台7線
豔紫荊,121.58729690,24.65908072,3,台7線
豔紫荊,121.58810326,24.66151373,1,台7線
豔紫荊,121.59057630,24.66357598,15,台7線
豔紫荊,121.59636499,24.66648008,18,台7線
樟樹,121.59862775,24.66711741,1,台7線
豔紫荊,121.59909854,24.66737904,15,台7線
豔紫荊,121.60077680,24.66803848,26,台7線
樟樹,121.60314013,24.66944155,1,台7線
豔紫荊,121.60359899,24.66987367,8,台7線
豔紫荊,121.60439252,24.67087113,2,台7線
豔紫荊,121.60701122,24.67250126,1,台7線
豔紫荊,121.60763506,24.67257153,10,台7線
豔紫荊,121.60879707,24.67308715,8,台7線
豔紫荊,121.60957083,24.67375360,1,台7線
樟樹,121.60986114,24.67515900,7,台7線
樟樹,121.61047138,24.67815010,2,台7線
豔紫荊,121.61092310,24.67830533,5,台7線
豔紫荊,121.61226426,24.67910328,2,台7線
樟樹,121.61676949,24.68108133,9,台7線
豔紫荊,121.62159730,24.68183319,3,台7線
樟樹,121.62223322,24.68190287,3,台7線
豔紫荊,121.62238517,24.68194847,2,台7線
樟樹,121.62346233,24.68459127,31,台7線
樟樹,121.62478512,24.68574120,34,台7線
茄苳,121.62254337,24.68364633,1,台7線
樟樹,121.62252945,24.68306619,8,台7線
豔紫荊,121.62253624,24.68299184,1,台7線
紫薇,121.60384763,24.67019673,20,台7線
玉蘭花,121.59009603,24.66326687,15,台7線
紫薇,121.55944335,24.64125415,6,台7線
紫薇,121.55916121,24.64098812,11,台7線
櫻花,121.55176560,24.63416816,1,台7線
肖楠,121.54135761,24.62724387,4,台7線
櫻花,121.54099308,24.62682479,2,台7線
櫻花,121.53420613,24.61881354,14,台7線
櫻花,121.53324779,24.61796427,17,台7線
紫葉槭,121.53324029,24.61796220,3,台7線
紫葉槭,121.53323304,24.61795296,4,台7線
櫻花,121.53311003,24.61781295,61,台7線
紫葉槭,121.53266245,24.61747477,15,台7線
櫻花,121.53246989,24.61730960,38,台7線
楓香,121.53140824,24.61653461,31,台7線
茄冬,121.53111790,24.61630378,3,台7線
紫葉槭,121.53109111,24.61627349,21,台7線
櫻花,121.53094965,24.61620352,45,台7線
紫葉槭,121.52993175,24.61547816,3,台7線
櫻花,121.52974653,24.61533424,19,台7線
櫻花,121.52957670,24.61509647,19,台7線
樟樹,121.52954225,24.61503684,1,台7線
紫葉槭,121.52954052,24.61503282,5,台7線
櫻花,121.52930416,24.61468018,1,台7線
肉桂,121.52929339,24.61466497,4,台7線
茄冬,121.52927706,24.61462210,3,台7線
茄冬,121.52922514,24.61413103,4,台7線
櫻花,121.52913290,24.61406587,1,台7線
櫻花,121.52897369,24.61375449,6,台7線
茄冬,121.52893311,24.61367515,48,台7線
櫻花,121.52098301,24.60496166,17,台7線
豔紫荊,121.52026249,24.60443321,3,台7線
櫻花,121.51893233,24.60363620,23,台7線
紫薇,121.51868452,24.60359457,19,台7線
櫻花,121.51866147,24.60359518,29,台7線
紫薇,121.51813608,24.60351452,15,台7線
紫葉槭,121.51820214,24.60355167,64,台7線
紫薇,121.51788255,24.60339147,15,台7線
紫葉槭,121.51786730,24.60338550,31,台7線
櫻花,121.51754999,24.60319907,67,台7線
紫薇,121.51662903,24.60296994,8,台7線
紫葉槭,121.51662314,24.60296313,4,台7線
櫻花,121.51668944,24.60298660,13,台7線
楓香,121.51677898,24.60302378,2,台7線
紫薇,121.51680125,24.60303928,8,台7線
櫻花,121.51681011,24.60304203,24,台7線
楓香,121.51709397,24.60314858,2,台7線
紫葉槭,121.51709442,24.60314892,5,台7線
紫薇,121.51709446,24.60314883,6,台7線
櫻花,121.51634032,24.60297069,17,台7線
水茄冬,121.51621876,24.60293104,11,台7線
紫薇,121.51621444,24.60293601,9,台7線
紫葉槭,121.51621276,24.60293819,16,台7線
櫻花,121.51184611,24.59988360,5,台7線
櫻花,121.51300923,24.59999164,1,台7線
櫻花,121.51369167,24.60073506,2,台7線
櫻花,121.51104651,24.60150497,3,台7線
櫻花,121.51066092,24.60188469,13,台7線
楓香,121.51037411,24.60324370,1,台7線
櫻花,121.50948401,24.60345504,1,台7線
櫻花,121.50922646,24.60365951,1,台7線
櫻花,121.50718529,24.60530913,4,台7線
櫻花,121.50614590,24.60536713,2,台7線
櫻花,121.50571364,24.60644774,4,台7線
櫻花,121.50513338,24.60766666,3,台7線
櫻花,121.50454053,24.60772725,4,台7線
櫻花,121.50317344,24.60664034,3,台7線
櫻花,121.49990784,24.60464739,5,台7線
櫻花,121.49847316,24.60368252,6,台7線
櫻花,121.49760573,24.60435793,5,台7線
櫻花,121.49533687,24.60489976,7,台7線
紫葉槭,121.49509007,24.60494006,8,台7線
桂花,121.49503952,24.60489395,1,台7線
紫葉槭,121.49390760,24.60552692,1,台7線
櫻花,121.49087288,24.60633249,4,台7線
櫻花,121.49084992,24.60602766,1,台7線
櫻花,121.49085709,24.60518331,11,台7線
紫薇,121.49076500,24.60490936,2,台7線
櫻花,121.49071400,24.60500402,11,台7線
紫葉槭,121.49072304,24.60516330,9,台7線
櫻花,121.48700407,24.60772913,7,台7線
紫葉槭,121.48660314,24.60775041,1,台7線
紫葉槭,121.48748213,24.60844050,5,台7線
櫻花,121.48730424,24.60854418,4,台7線
櫻花,121.48738137,24.60871506,8,台7線
櫻花,121.48653167,24.60962628,3,台7線
紫葉槭,121.48655386,24.60975652,3,台7線
櫻花,121.48621794,24.61346180,2,台7線
櫻花,121.48311089,24.61315865,1,台7線
紫葉槭,121.48866104,24.61581495,4,台7線
紫葉槭,121.47700555,24.64474290,4,台7線
紫葉槭,121.47608016,24.64580960,49,台7線
紫葉槭,121.47561601,24.64697734,7,台7線
紫葉槭,121.47529859,24.64956805,19,台7線
紫葉槭,121.46928306,24.65321396,18,台7線
紫葉槭,121.46850433,24.65279144,75,台7線
紫葉槭,121.46715865,24.64966938,65,台7線
紫葉槭,121.46530433,24.64646184,17,台7線
紫葉槭,121.46408220,24.64507817,2,台7線
紫葉槭,121.46253593,24.64474918,20,台7線
紫葉槭,121.46243662,24.64492209,14,台7線
紫葉槭,121.46182999,24.64610987,2,台7線
紫葉槭,121.46105179,24.64616714,12,台7線
紫葉槭,121.45927909,24.64334607,5,台7線
紫葉槭,121.45822523,24.64339073,2,台7線
紫葉槭,121.45777403,24.64380862,4,台7線
紫葉槭,121.44497857,24.64250366,7,台7線
楓香,121.47817987,24.57494363,3,台7甲線
青楓,121.47754421,24.57494406,7,台7甲線
紫薇,121.47744210,24.57494045,1,台7甲線
櫻花,121.47383135,24.57403378,1,台7甲線
櫻花,121.47319212,24.57298211,3,台7甲線
櫻花,121.47252938,24.57171509,2,台7甲線
櫻花,121.47338000,24.56737880,2,台7甲線
大頭茶,121.47324281,24.56713297,9,台7甲線
櫻花,121.47303716,24.56576339,9,台7甲線
櫻花,121.47430553,24.56467300,5,台7甲線
櫻花,121.47436452,24.56408473,3,台7甲線
櫻花,121.47436941,24.56305971,3,台7甲線
櫻花,121.47676613,24.55827709,23,台7甲線
莿桐,121.47676578,24.55823995,2,台7甲線
櫻花,121.47665643,24.55775028,5,台7甲線
櫻花,121.47350639,24.55411557,3,台7甲線
櫻花,121.47005952,24.55390593,1,台7甲線
櫻花,121.46923868,24.55405511,1,台7甲線
櫻花,121.46793575,24.55451468,1,台7甲線
櫻花,121.46396201,24.55449873,2,台7甲線
櫻花,121.45846077,24.55074617,5,台7甲線
櫻花,121.45784050,24.55035861,28,台7甲線
櫻花,121.45854837,24.54820546,10,台7甲線
櫻花,121.45827173,24.54724346,6,台7甲線
櫻花,121.45786424,24.54622084,19,台7甲線
櫻花,121.45775384,24.54594804,6,台7甲線
櫻花,121.45758697,24.54559231,34,台7甲線
櫻花,121.45749255,24.54508360,18,台7甲線
櫻花,121.45749233,24.54464281,112,台7甲線
紫葉槭,121.45743829,24.54384858,24,台7甲線
櫻花,121.45719047,24.54340711,25,台7甲線
櫻花,121.45697228,24.54303637,27,台7甲線
櫻花,121.45656276,24.54231960,7,台7甲線
櫻花,121.45583101,24.54023963,22,台7甲線
櫻花,121.45514182,24.53862363,13,台7甲線
櫻花,121.45466784,24.53812338,6,台7甲線
櫻花,121.45446849,24.53786544,6,台7甲線
櫻花,121.45344054,24.53673832,4,台7甲線
櫻花,121.45322378,24.53595665,1,台7甲線
櫻花,121.45228155,24.53431423,44,台7甲線
櫻花,121.45196743,24.53348594,6,台7甲線
櫻花,121.45192087,24.53277344,1,台7甲線
櫻花,121.45072045,24.52789367,21,台7甲線
櫻花,121.45063811,24.52618622,9,台7甲線
櫻花,121.44997545,24.52543219,2,台7甲線
櫻花,121.44952084,24.52482276,5,台7甲線
櫻花,121.44910875,24.52369078,5,台7甲線
櫻花,121.44888223,24.52340024,16,台7甲線
櫻花,121.44795991,24.52267615,7,台7甲線
櫻花,121.44793197,24.52049490,23,台7甲線
櫻花,121.44567052,24.52026449,22,台7甲線
櫻花,121.44525835,24.51880449,5,台7甲線
櫻花,121.44505558,24.51841541,11,台7甲線
櫻花,121.44364337,24.51720756,6,台7甲線
櫻花,121.44197420,24.51536030,16,台7甲線
櫻花,121.44079370,24.51366026,32,台7甲線
櫻花,121.44039791,24.51327206,14,台7甲線
櫻花,121.44007244,24.51294702,7,台7甲線
楓香,121.43926796,24.51256716,10,台7甲線
楓香,121.43796846,24.51224433,29,台7甲線
楓香,121.43676460,24.51102594,3,台7甲線
楓香,121.43676733,24.50895932,7,台7甲線
楓香,121.43678885,24.50729276,28,台7甲線
楓香,121.43681313,24.50661694,8,台7甲線
楓香,121.43650862,24.50596432,24,台7甲線
楓香,121.43652266,24.50464757,29,台7甲線
楓香,121.43590714,24.50308821,21,台7甲線
楓香,121.43573149,24.50166733,29,台7甲線
櫻花,121.43564985,24.50115979,22,台7甲線
櫻花,121.43545682,24.50057462,18,台7甲線
櫻花,121.43483193,24.49950445,4,台7甲線
櫻花,121.43341352,24.49667561,50,台7甲線
櫻花,121.43242536,24.49617178,6,台7甲線
櫻花,121.43065039,24.49448245,9,台7甲線
櫻花,121.43030852,24.49401655,25,台7甲線
櫻花,121.42852729,24.49150381,7,台7甲線
櫻花,121.42787681,24.49075849,8,台7甲線
櫻花,121.42695150,24.48948863,5,台7甲線
櫻花,121.42592006,24.48887002,4,台7甲線
櫻花,121.42463968,24.48476841,5,台7甲線
櫻花,121.42391746,24.48428842,2,台7甲線
櫻花,121.42296906,24.48350600,9,台7甲線
櫻花,121.42257108,24.48234369,4,台7甲線
櫻花,121.42213989,24.48167384,19,台7甲線
櫻花,121.42119480,24.48038474,7,台7甲線
櫻花,121.42103212,24.47921115,1,台7甲線
櫻花,121.38149990,24.44077920,2,台7甲線
櫻花,121.42072289,24.47797748,6,台7甲線
櫻花,121.42048121,24.47730071,16,台7甲線
櫻花,121.41978491,24.47642956,6,台7甲線
櫻花,121.41881400,24.47573020,14,台7甲線
櫻花,121.41704946,24.47467279,5,台7甲線
櫻花,121.41645525,24.47408059,7,台7甲線
櫻花,121.41581027,24.47286357,3,台7甲線
櫻花,121.41514836,24.47211166,4,台7甲線
櫻花,121.41329412,24.47048286,3,台7甲線
櫻花,121.41018406,24.46929394,8,台7甲線
櫻花,121.40982642,24.47242831,9,台7甲線
櫻花,121.39593210,24.46266337,10,台7甲線
櫻花,121.39408959,24.46269056,2,台7甲線
櫻花,121.39332161,24.45626271,1,台7甲線
櫻花,121.39080750,24.45272168,1,台7甲線
櫻花,121.39027663,24.45215012,3,台7甲線
櫻花,121.39039819,24.45123838,5,台7甲線
櫻花,121.39008769,24.45069829,3,台7甲線
櫻花,121.38971340,24.45017436,9,台7甲線
櫻花,121.38971509,24.44966838,1,台7甲線
櫻花,121.38938421,24.44939546,7,台7甲線
櫻花,121.38592251,24.44553222,6,台7甲線
櫻花,121.37896110,24.43551650,2,台7甲線
櫻花,121.36324883,24.42985567,2,台7甲線
肖楠,121.36358198,24.42888850,22,台7甲線
櫻花,121.36333809,24.42900218,26,台7甲線
樟樹,121.47978906,24.57537794,1,台7甲線
櫻花,121.48012511,24.57543941,5,台7甲線
肖楠,121.48035228,24.57550719,1,台7甲線
櫻花,121.48078223,24.57560660,2,台7甲線
紫薇,121.48078337,24.57560183,1,台7甲線
楓香,121.48091072,24.57562434,12,台7甲線
紫薇,121.48103259,24.57564110,4,台7甲線
楓香,121.48149107,24.57583417,2,台7甲線
櫻花,121.49341747,24.57949870,1,台7甲線
櫻花,121.49423607,24.58007360,3,台7甲線
櫻花,121.49419967,24.58046123,15,台7甲線
楓香,121.49486251,24.58076899,1,台7甲線
櫻花,121.49532891,24.58038026,13,台7甲線
櫻花,121.49637154,24.58096553,11,台7甲線
櫻花,121.49700382,24.58210562,8,台7甲線
櫻花,121.49799093,24.58325496,12,台7甲線
櫻花,121.49826667,24.58411513,2,台7甲線
櫻花,121.49924474,24.58399531,17,台7甲線
櫻花,121.49974165,24.58550789,9,台7甲線
櫻花,121.50063031,24.58606265,2,台7甲線
櫻花,121.50222419,24.58643297,6,台7甲線
櫻花,121.50277843,24.58708881,2,台7甲線
櫻花,121.50388099,24.58802789,26,台7甲線
櫻花,121.50555114,24.58855343,12,台7甲線
櫻花,121.50594951,24.58885199,4,台7甲線
櫻花,121.50617291,24.58937176,5,台7甲線
櫻花,121.50679125,24.59041483,23,台7甲線
楓香,121.50698048,24.59136063,2,台7甲線
櫻花,121.50733962,24.59192530,4,台7甲線
櫻花,121.50796149,24.59289802,6,台7甲線
櫻花,121.50847687,24.59313417,4,台7甲線
樟樹,121.50903916,24.59390396,1,台7甲線
櫻花,121.50943230,24.59443463,24,台7甲線
紫薇,121.51055301,24.59527574,1,台7甲線
櫻花,121.51086458,24.59556399,7,台7甲線
紫葉槭,121.50103265,24.58656917,18,台7甲線
紫薇,121.50089653,24.58644682,18,台7甲線
櫻花,121.50093472,24.58631087,110,台7甲線
櫻花,121.49824930,24.58416029,1,台7甲線
楓香,121.49105152,24.57733491,17,台7甲線
楓香,121.49009426,24.57757498,32,台7甲線
楓香,121.48910104,24.57836158,16,台7甲線
楓香,121.48818587,24.57845238,16,台7甲線
楓香,121.48702540,24.57860914,6,台7甲線
楓香,121.48612932,24.57877409,3,台7甲線
楓香,121.48560773,24.57884691,49,台7甲線
楓香,121.48297684,24.57843159,40,台7甲線
楓香,121.48181763,24.57638397,5,台7甲線
楓香,121.48162283,24.57601072,4,台7甲線
櫻花,121.47987253,24.57538783,16,台7甲線
櫻花,121.47963530,24.57476159,3,台7甲線
櫻花,121.48012640,24.57555359,6,台7甲線
楓香,121.47891700,24.57496080,21,台7甲線
櫻花,121.47891700,24.57496080,35,台7甲線
肖楠,121.47891700,24.57496080,32,台7甲線
樟樹,121.47891700,24.57496080,7,台7甲線
櫸樹,121.47891700,24.57496080,6,台7甲線
紫葉槭,121.47891700,24.57496080,64,台7甲線
南洋松,121.47891700,24.57496080,13,台7甲線
洋肉桂,121.47891700,24.57496080,1,台7甲線
落雨松,121.47891700,24.57496080,10,台7甲線
龍柏,121.47891700,24.57496080,1,台7甲線
苦楝,121.47891700,24.57496080,1,台7甲線
榆樹,121.47891700,24.57496080,15,台7甲線
茄苳,121.56934890,24.64133382,7,台7丙線
山芙蓉,121.56911357,24.64139859,35,台7丙線
茄苳,121.57060700,24.64100360,15,台7丙線
茄苳,121.57129383,24.64081599,14,台7丙線
櫻花,121.57189210,24.64076229,1,台7丙線
茄苳,121.57220884,24.64075771,11,台7丙線
櫻花,121.57261762,24.64067774,1,台7丙線
茄苳,121.57293024,24.64060986,10,台7丙線
茄苳,121.57369765,24.64046624,20,台7丙線
茄苳,121.57448828,24.64032492,17,台7丙線
櫻花,121.57452269,24.64029170,1,台7丙線
茄苳,121.57517621,24.64018269,20,台7丙線
茄苳,121.57615425,24.63999344,21,台7丙線
茄苳,121.57634108,24.63992566,1,台7丙線
櫻花,121.57634108,24.63993566,2,台7丙線
肉桂,121.57634108,24.63991566,5,台7丙線
肖楠,121.57642648,24.63985532,1,台7丙線
茄苳,121.57641908,24.63982651,2,台7丙線
肉桂,121.57639742,24.63981312,5,台7丙線
楓香,121.57639605,24.63980991,2,台7丙線
竹柏,121.57639582,24.63980981,3,台7丙線
櫻花,121.57639564,24.63980951,1,台7丙線
茄苳,121.57711782,24.63976384,17,台7丙線
茄苳,121.57776609,24.63958086,20,台7丙線
茄苳,121.57852946,24.63950518,18,台7丙線
茄苳,121.57919858,24.63964097,20,台7丙線
茄苳,121.57987109,24.63981943,18,台7丙線
茄苳,121.58041382,24.63997855,20,台7丙線
茄苳,121.58152902,24.64014731,9,台7丙線
櫻花,121.58374322,24.64017277,18,台7丙線
櫻花,121.58538172,24.63958328,26,台7丙線
櫻花,121.58614305,24.63964928,23,台7丙線
櫻花,121.58673686,24.64006006,21,台7丙線
櫻花,121.58715129,24.64044636,22,台7丙線
櫻花,121.58765652,24.64077951,18,台7丙線
櫻花,121.58802401,24.64115614,15,台7丙線
櫻花,121.58851852,24.64164613,16,台7丙線
櫻花,121.58880617,24.64198306,13,台7丙線
櫻花,121.58898287,24.64213728,10,台7丙線
櫻花,121.59004340,24.64276806,30,台7丙線
紫薇,121.58909219,24.64216501,36,台7丙線
櫻花,121.58914011,24.64209693,11,台7丙線
杜英,121.58912219,24.64216853,2,台7丙線
大頭茶,121.58968851,24.64252762,1,台7丙線
櫻花,121.59091892,24.64338874,21,台7丙線
紫薇,121.59066813,24.64309659,18,台7丙線
櫻花,121.59064950,24.64312669,1,台7丙線
紫葉槭,121.59066483,24.64314444,1,台7丙線
楓香,121.59067959,24.64319802,2,台7丙線
櫻花,121.59153349,24.64379488,15,台7丙線
紫薇,121.59176821,24.64386923,17,台7丙線
櫻花,121.59214922,24.64400212,10,台7丙線
櫻花,121.59299533,24.64466225,22,台7丙線
櫻花,121.59361680,24.64484892,12,台7丙線
櫻花,121.59494703,24.64510610,24,台7丙線
櫻花,121.59636898,24.64498766,25,台7丙線
櫻花,121.59777286,24.64484187,23,台7丙線
櫻花,121.59876406,24.64420714,19,台7丙線
櫻花,121.59904801,24.64389528,14,台7丙線
櫻花,121.59918546,24.64349147,19,台7丙線
紫薇,121.59933108,24.64294115,7,台7丙線
櫻花,121.59965014,24.64179432,35,台7丙線
紫薇,121.59965222,24.64179710,7,台7丙線
櫻花,121.59970506,24.64140102,17,台7丙線
紫薇,121.59971197,24.64138822,10,台7丙線
櫻花,121.59979075,24.64100010,21,台7丙線
紫薇,121.59979141,24.64100920,9,台7丙線
櫻花,121.59984593,24.64063503,23,台7丙線
紫薇,121.59984581,24.64062982,12,台7丙線
櫻花,121.59995525,24.64008542,24,台7丙線
紫薇,121.59995599,24.64008451,14,台7丙線
櫻花,121.59972806,24.64094679,18,台7丙線
紫葉槭,121.59974928,24.64090390,1,台7丙線
楓香,121.59974908,24.64090394,1,台7丙線
楓香,121.59984636,24.64053659,1,台7丙線
櫻花,121.60008505,24.63972175,19,台7丙線
紫薇,121.60010069,24.63972649,20,台7丙線
櫻花,121.60024673,24.63903533,26,台7丙線
櫻花,121.60024202,24.63902636,26,台7丙線
杜英,121.60024048,24.63902650,1,台7丙線
櫻花,121.60103944,24.63758766,78,台7丙線
櫻花,121.60152787,24.63691190,25,台7丙線
櫻花,121.60154847,24.63683909,17,台7丙線
羊蹄甲,121.60157487,24.63683199,3,台7丙線
櫻花,121.60287823,24.63563017,59,台7丙線
櫻花,121.60329140,24.63537800,17,台7丙線
櫻花,121.60399982,24.63492098,25,台7丙線
櫻花,121.60478177,24.63432635,20,台7丙線
櫻花,121.60640227,24.63278740,33,台7丙線
櫻花,121.60847808,24.63179724,8,台7丙線
櫻花,121.61024774,24.63358773,27,台7丙線
櫻花,121.61084020,24.63421832,36,台7丙線
櫻花,121.61009319,24.63387293,21,台7丙線
櫻花,121.60934899,24.63303217,27,台7丙線
紫薇,121.61364252,24.63738708,49,台7丙線
櫻花,121.61364766,24.63737722,6,台7丙線
紫薇,121.61364801,24.63737712,5,台7丙線
櫻花,121.61411439,24.63821829,16,台7丙線
櫻花,121.61376473,24.63778591,9,台7丙線
櫻花,121.61395064,24.63876828,14,台7丙線
櫻花,121.61377531,24.63941813,26,台7丙線
櫻花,121.61356194,24.63983308,31,台7丙線
樟樹,121.61356234,24.63983462,1,台7丙線
櫻花,121.61355917,24.63983590,13,台7丙線
紫葉槭,121.61360392,24.63988978,4,台7丙線
櫻花,121.61330003,24.64015594,47,台7丙線
紫葉槭,121.61329182,24.64016344,3,台7丙線
櫻花,121.61304493,24.64052031,29,台7丙線
櫻花,121.61275234,24.64082265,28,台7丙線
玉蘭,121.61258674,24.64107715,1,台7丙線
肉桂,121.61263491,24.64104920,2,台7丙線
櫻花,121.61259697,24.64110218,29,台7丙線
櫻花,121.61112945,24.64232708,4,台7丙線
櫻花,121.61197629,24.64374688,39,台7丙線
櫻花,121.61257691,24.64441558,41,台7丙線
紫薇,121.61265982,24.64462610,1,台7丙線
櫻花,121.61269801,24.64473384,8,台7丙線
櫻花,121.61295939,24.64520272,34,台7丙線
櫻花,121.61308568,24.64551396,31,台7丙線
紫薇,121.61309418,24.64551753,19,台7丙線
紫葉槭,121.61309469,24.64551777,6,台7丙線
櫻花,121.61322656,24.64575313,19,台7丙線
紫薇,121.61322665,24.64575335,3,台7丙線
紫葉槭,121.61323602,24.64578351,1,台7丙線
櫻花,121.61343741,24.64625071,11,台7丙線
櫻花,121.61387562,24.64731492,49,台7丙線
紫薇,121.61389141,24.64731752,37,台7丙線
紫薇,121.61423934,24.64849516,1,台7丙線
櫻花,121.61423951,24.64849511,36,台7丙線
櫻花,121.61537254,24.65098290,5,台7丙線
櫻花,121.61458240,24.65038300,33,台7丙線
紫葉槭,121.61751635,24.65124559,5,台7丙線
紫薇,121.61751193,24.65125966,1,台7丙線
櫻花,121.61769360,24.65145439,12,台7丙線
山芙蓉,121.61779967,24.65188939,30,台7丙線
茄苳,121.61783322,24.65192889,26,台7丙線
櫻花,121.61718800,24.65202430,292,台7丙線
樟樹,121.61778519,24.65196049,7,台7丙線
羊蹄甲,121.61778685,24.65195384,1,台7丙線
楓香,121.61776818,24.65196162,6,台7丙線
櫻花,121.61536186,24.65235180,27,台7丙線
山芙蓉,121.61458240,24.65038300,28,台7丙線
櫻花,121.61491534,24.65289237,4,台7丙線
櫻花,121.61469746,24.65325261,21,台7丙線
山芙蓉,121.61470404,24.65324993,8,台7丙線
櫻花,121.61414387,24.65447776,37,台7丙線
